Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8482399323192364,0.2809278350515464,0.8448275862068966,0.9916666666666667,0.9463508290102736,0.0,,1,8.715986728668213
SISA,0.7860329425415732,0.42783505154639173,0.8864815379920659,0.6916666666666667,0.7841203844980165,0.17465405964255407,,1,14.773372888565063
BFRT,0.8503591360670922,0.26288659793814434,0.8312480927677754,0.14166666666666666,0.5348146170277692,0.15764964868696835,0.0,1,0.08678960800170898
First_Order,0.8503591360670922,0.26288659793814434,0.8312480927677754,0.14166666666666666,0.5348146170277692,0.15764964868696835,0.0,1,0.00655674934387207
Fine_Tuning,0.8503591360670922,0.26288659793814434,0.8312480927677754,0.14166666666666666,0.5348146170277692,0.15764964868696835,0.0,1,0.017657995223999023
BFRT,0.8503900672460551,0.26288659793814434,0.831400671345743,0.14166666666666666,0.5354694334248805,0.15761274069662676,4.449388209121246e-05,1,0.033978939056396484
First_Order,0.8480092024437302,0.23711340206185566,0.8100396704302716,0.15833333333333333,0.5245422642660971,0.22961668872395155,0.03535353535353535,1,0.0059163570404052734
Fine_Tuning,0.8503591360670922,0.26288659793814434,0.8312480927677754,0.14166666666666666,0.5348146170277692,0.15764964868696835,0.00014545454545454546,1,0.01771831512451172
BFRT,0.8504385539590238,0.22164948453608246,0.7961550198352151,0.23333333333333334,0.5361019987793714,0.15757768288873955,8.898776418242492e-05,1,0.03405475616455078
First_Order,0.8181225777542962,0.3170103092783505,0.820415013732072,0.14166666666666666,0.5033401993693418,0.3368097054066258,0.0707070707070707,1,0.005481719970703125
Fine_Tuning,0.8503591360670922,0.26288659793814434,0.8312480927677754,0.14166666666666666,0.5348146170277692,0.15764964868696835,0.0002909090909090909,1,0.017611026763916016
BFRT,0.8504707391047012,0.22164948453608246,0.7970704913030211,0.23333333333333334,0.5367364713660869,0.1575445276693045,0.00013348164627363738,1,0.03391718864440918
First_Order,0.7863169660024545,0.41237113402061853,0.854745193774794,0.10833333333333334,0.5142285881395585,0.3534121431371907,0.10606060606060605,1,0.005591630935668945
Fine_Tuning,0.8503591360670922,0.26288659793814434,0.8312480927677754,0.14166666666666666,0.5348146170277692,0.15764964868696835,0.00043636363636363637,1,0.018085718154907227
BFRT,0.8505202707899322,0.22164948453608246,0.79844369850473,0.225,0.5374116315735937,0.15751349802392894,0.00017797552836484984,1,0.0339055061340332
First_Order,0.7642126677389475,0.4072164948453608,0.8210253280439427,0.15,0.5243489980673379,0.3690687362603238,0.1414141414141414,1,0.0054357051849365234
Fine_Tuning,0.8503591360670922,0.26288659793814434,0.8312480927677754,0.14166666666666666,0.5348146170277692,0.15764964868696835,0.0005818181818181818,1,0.01798391342163086
BFRT,0.8505518289522525,0.22164948453608246,0.7992065913945682,0.225,0.5380588190418065,0.1574844416380033,0.0002224694104560623,1,0.034088134765625
First_Order,0.7480160156628802,0.38917525773195877,0.7828806835520293,0.19166666666666668,0.5274984742142204,0.40963355066798507,0.17676767676767677,1,0.005646944046020508
Fine_Tuning,0.8503591360670922,0.26288659793814434,0.8312480927677754,0.14166666666666666,0.5348146170277692,0.15764964868696835,0.0007272727272727272,1,0.017657041549682617
BFRT,0.8505952997983621,0.22164948453608246,0.7987488556606652,0.23333333333333334,0.5386862984436985,0.15745712067427334,0.00026696329254727476,1,0.03433680534362793
First_Order,0.733742321543817,0.4484536082474227,0.7992065913945682,0.15833333333333333,0.5296422032346658,0.4584461367919111,0.2121212121212121,1,0.005437612533569336
Fine_Tuning,0.8503591360670922,0.26288659793814434,0.8312480927677754,0.14166666666666666,0.5348146170277692,0.15764964868696835,0.0008727272727272727,1,0.017960071563720703
BFRT,0.8506431595279735,0.22422680412371135,0.8007323771742447,0.225,0.5392864408503713,0.15743201397286014,0.0003114571746384872,1,0.03373885154724121
