Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8430894730330278,0.29896907216494845,0.8399450717119317,0.91,0.8904928288068356,0.0,,1,6.34670352935791
SISA,0.79225240845207,0.3247422680412371,0.8030210558437595,0.43,0.6193469636862985,0.0984650428723734,,1,6.641042232513428
BFRT,0.8423696961387857,0.23195876288659795,0.7938663411657003,0.15,0.5427616722612145,0.047967054523164944,0.0,1,0.02539968490600586
First_Order,0.8423696961387857,0.23195876288659795,0.7938663411657003,0.15,0.5427616722612145,0.047967054523164944,0.0,1,0.002213716506958008
Fine_Tuning,0.8423696961387857,0.23195876288659795,0.7938663411657003,0.15,0.5427616722612145,0.047967054523164944,0.0,1,0.009342193603515625
BFRT,0.8423145216033384,0.23195876288659795,0.7929508696978944,0.15,0.541759231003967,0.04796723834627197,0.004631991101223581,1,0.025194406509399414
First_Order,0.8422342677335973,0.2422680412371134,0.8007323771742447,0.15,0.5431110772047604,0.048689961160452405,0.04449388209121246,1,0.0019571781158447266
Fine_Tuning,0.8423099237253846,0.23195876288659795,0.7924931339639915,0.15,0.541901129081477,0.0479953199939237,0.00020302558398220245,1,0.009475946426391602
BFRT,0.8422522412565081,0.23195876288659795,0.7923405553860238,0.15,0.5408223985352456,0.04797822093625621,0.009263982202447162,1,0.02524113655090332
First_Order,0.8420775218942588,0.23969072164948454,0.7963075984131828,0.15,0.5435382972230699,0.049785535252514404,0.08898776418242492,1,0.0019638538360595703
Fine_Tuning,0.8422411645505282,0.2345360824742268,0.7960024412572475,0.15,0.5410863594751297,0.04804467376546461,0.0004060511679644049,1,0.009299039840698242
BFRT,0.8421845270539139,0.23195876288659795,0.7911199267622826,0.15,0.5398741226731767,0.04800067718015701,0.013895973303670744,1,0.025181055068969727
First_Order,0.8419416755001656,0.2551546391752577,0.8080561489166921,0.15,0.5437107110161733,0.051248563392155576,0.13348164627363737,1,0.0019655227661132812
