Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.842282336457661,0.32989690721649484,0.8727494659749772,0.7625,0.8920926151968265,0.0,,1,8.644676685333252
SISA,0.7907234050379366,0.41237113402061853,0.8959414098260604,0.325,0.5801027998169057,0.1814928142585705,,1,14.633999109268188
BFRT,0.8530390719308747,0.25773195876288657,0.8193469636862984,0.1125,0.5253242294781812,0.14191088101683372,0.0,1,0.028154611587524414
First_Order,0.8530390719308747,0.25773195876288657,0.8193469636862984,0.1125,0.5253242294781812,0.14191088101683372,0.0,1,0.006951808929443359
Fine_Tuning,0.8530390719308747,0.25773195876288657,0.8193469636862984,0.1125,0.5253242294781812,0.14191088101683372,0.0,1,0.03018951416015625
BFRT,0.8530265322637276,0.2603092783505155,0.8214830637778456,0.1125,0.5247463381141287,0.14183392779016826,4.449388209121246e-05,1,0.027502059936523438
First_Order,0.8523978769507542,0.25,0.8152273420811718,0.1375,0.5236000915471468,0.14113040710774732,0.00389321468298109,1,0.006151914596557617
Fine_Tuning,0.8528925668197064,0.25773195876288657,0.8207201708880073,0.125,0.5224395407384803,0.14150849742276772,1.6017797552836483e-05,1,0.030000686645507812
BFRT,0.8529907942123583,0.2603092783505155,0.8222459566676839,0.1125,0.5240864357644186,0.141759217040618,8.898776418242492e-05,1,0.027924537658691406
First_Order,0.8514613728093202,0.26804123711340205,0.8259078425389076,0.1,0.5218511595971925,0.1418592235887988,0.00778642936596218,1,0.006288766860961914
Fine_Tuning,0.852617321125828,0.25,0.8138541348794629,0.1375,0.5192973756484589,0.14140760147053485,3.2035595105672966e-05,1,0.030011415481567383
BFRT,0.8529575640944187,0.2603092783505155,0.8219407995117486,0.1125,0.5234646780592005,0.14168684240392898,0.00013348164627363738,1,0.02837347984313965
First_Order,0.850283480075305,0.23711340206185566,0.7952395483674092,0.175,0.5199248550503509,0.14440618987086232,0.011679644048943269,1,0.006432056427001953
Fine_Tuning,0.8522271284831016,0.25,0.8114128776319804,0.15,0.516348794629234,0.14163118530569044,4.805339265850945e-05,1,0.030033588409423828
