Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8471596399945159,0.30670103092783507,0.851235886481538,0.96,0.9170064083002745,0.0,,1,6.536120891571045
SISA,0.7914996104343406,0.31958762886597936,0.8034787915776624,0.36,0.6188342996643271,0.13290171891426442,,1,6.685979604721069
BFRT,0.8474223460212472,0.3118556701030928,0.8667989014342387,0.1,0.5332773878547452,0.04762510047486972,0.0,1,0.015286684036254883
First_Order,0.8474223460212472,0.3118556701030928,0.8667989014342387,0.1,0.5332773878547452,0.04762510047486972,0.0,1,0.002283811569213867
Fine_Tuning,0.8474223460212472,0.3118556701030928,0.8667989014342387,0.1,0.5332773878547452,0.04762510047486972,0.0,1,0.009327888488769531
BFRT,0.8474365576440138,0.30927835051546393,0.8652731156545621,0.1,0.5341714983216357,0.04750278936940884,0.004631991101223581,1,0.015146255493164062
First_Order,0.8473220286840706,0.3015463917525773,0.8585596582239854,0.12,0.5339609398840403,0.04732747920828549,0.04449388209121246,1,0.0019855499267578125
Fine_Tuning,0.8474135682542443,0.30927835051546393,0.8657308513884651,0.1,0.534070796460177,0.047470846678523144,0.00020302558398220245,1,0.00921940803527832
BFRT,0.8474131502653393,0.30927835051546393,0.866188587122368,0.1,0.5350778150747635,0.047390643248397285,0.009263982202447162,1,0.015215873718261719
First_Order,0.8471376955770087,0.3015463917525773,0.8599328654256942,0.1,0.5345712541959109,0.04745495132583557,0.08898776418242492,1,0.0019562244415283203
Fine_Tuning,0.8473700974081343,0.30927835051546393,0.8655782728104974,0.1,0.5349832163564237,0.04733547024327107,0.0004060511679644049,1,0.009196281433105469
BFRT,0.8474064624428609,0.30927835051546393,0.8657308513884651,0.1,0.5360115959719255,0.04728879303300526,0.013895973303670744,1,0.015167236328125
First_Order,0.8469629762147594,0.3015463917525773,0.8619163869392737,0.1,0.5351693622215441,0.048024327731832274,0.13348164627363737,1,0.001950979232788086
Fine_Tuning,0.8473136689059726,0.30927835051546393,0.8645102227647238,0.1,0.5357094903875497,0.047219457205665144,0.0006090767519466074,1,0.009220123291015625
BFRT,0.8473960127202385,0.3015463917525773,0.8585596582239854,0.12,0.5368660360085444,0.04719749219904421,0.018527964404894324,1,0.015160799026489258
First_Order,0.8468229499316169,0.30412371134020616,0.8637473298748856,0.1,0.5359780286847726,0.04903987309608201,0.17797552836484984,1,0.002112150192260742
Fine_Tuning,0.8472722880043873,0.3015463917525773,0.8568812938663412,0.12,0.5365669819957277,0.04712327134908318,0.0008121023359288098,1,0.009179353713989258
BFRT,0.8473797111529471,0.3015463917525773,0.8590173939578883,0.12,0.5378837351235887,0.04711685197706622,0.023159955506117904,1,0.01513051986694336
First_Order,0.846655336380751,0.30412371134020616,0.8629844369850473,0.1,0.5365028989929814,0.05049356532551487,0.2224694104560623,1,0.0019488334655761719
