Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8644893792779679,0.2611111111111111,0.8192821080296009,1.0,0.9267175721004219,0.0,,1,62.916470766067505
BFRT,0.8585016303805746,0.20404040404040405,0.7673075593056228,0.2375,0.5172673594301127,0.11857053473384452,0.0,1,0.10719990730285645
First_Order,0.8585016303805746,0.20404040404040405,0.7673075593056228,0.2375,0.5172673594301127,0.11857053473384452,0.0,1,0.004729747772216797
Fine_Tuning,0.8585016303805746,0.20404040404040405,0.7673075593056228,0.2375,0.5172673594301127,0.11857053473384452,0.0,1,0.02752232551574707
BFRT,0.8585045457920207,0.20404040404040405,0.7676533646863545,0.2375,0.5167942544435992,0.11876847158671602,8.342602892102337e-05,1,0.03853154182434082
First_Order,0.8585442553832932,0.20404040404040405,0.7683795559858911,0.2375,0.5157650511791964,0.12047190069737222,0.00289210233592881,1,0.00398564338684082
Fine_Tuning,0.8587257889609586,0.21414141414141413,0.7784424925651843,0.225,0.5116864928418285,0.12347464477226963,4.449388209121246e-05,1,0.027484416961669922
BFRT,0.85850822989716,0.20353535353535354,0.7678954284528667,0.2375,0.5162764108859534,0.11897033126249416,0.00016685205784204674,1,0.07270932197570801
First_Order,0.8585753781035539,0.21414141414141413,0.7784079120271111,0.2125,0.5142813299674943,0.1227190962002243,0.00578420467185762,1,0.004027843475341797
Fine_Tuning,0.858886595931848,0.201010101010101,0.7694861332042326,0.2375,0.4933540528390622,0.12982475779435418,8.898776418242492e-05,1,0.02737116813659668
BFRT,0.8585093829376997,0.20353535353535354,0.7679991700670863,0.2375,0.5157328480531157,0.11917562594783687,0.0002502780867630701,1,0.0384984016418457
First_Order,0.8585941454788437,0.21262626262626264,0.7775088180372086,0.225,0.5130228145099938,0.12532054105871546,0.00867630700778643,1,0.004001617431640625
Fine_Tuning,0.8589050445804844,0.1994949494949495,0.7675842036102082,0.225,0.4989044453281693,0.13767376485175886,0.00013348164627363738,1,0.027325868606567383
BFRT,0.8585103578662864,0.20353535353535354,0.7679300089909399,0.2375,0.5151834497544782,0.11938618927771866,0.0003337041156840935,1,0.038425445556640625
First_Order,0.8585757062045205,0.1984848484848485,0.766546787468013,0.2375,0.5,0.1282833037764795,0.01156840934371524,1,0.003985166549682617
