Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8431385744744196,0.24141414141414141,0.7739816031537451,0.8333333333333334,0.8730721350024206,0.0,,1,45.35824680328369
SISA,0.824502964532848,0.3186868686868687,0.8071443391659174,0.3333333333333333,0.7445823823685364,0.13890337562457516,,1,87.20122718811035
BFRT,0.8438972751495953,0.2590909090909091,0.7855660834082578,0.0,0.5543317887359661,0.045012519791803686,0.0,1,0.007707357406616211
First_Order,0.8438972751495953,0.2590909090909091,0.7855660834082578,0.0,0.5543317887359661,0.045012519791803686,0.0,1,0.002804994583129883
Fine_Tuning,0.8438972751495953,0.2590909090909091,0.7855660834082578,0.0,0.5543317887359661,0.045012519791803686,0.0,1,0.010375261306762695
BFRT,0.8439042871359672,0.25252525252525254,0.7801369389307697,0.0,0.5517728289185513,0.044115454345425575,0.004805339265850945,1,0.007355451583862305
First_Order,0.8439065650941069,0.2590909090909091,0.7860847914793554,0.0,0.547600110657722,0.040174885247035434,0.04449388209121246,1,0.0022995471954345703
Fine_Tuning,0.8438127188433447,0.2601010101010101,0.7866034995504531,0.0,0.5481245821518317,0.041780563766746055,0.0012235817575083428,1,0.01024627685546875
BFRT,0.8439097711092662,0.30505050505050507,0.8252645411162598,0.0,0.5491504714480024,0.04326571762805308,0.00961067853170189,1,0.00736546516418457
First_Order,0.8439008561372879,0.2601010101010101,0.7870530465454042,0.0,0.5411393134610507,0.037473691585456055,0.08898776418242492,1,0.0022966861724853516
Fine_Tuning,0.8436978085105267,0.27121212121212124,0.7964935334393803,0.0,0.5416522581091362,0.03926891484287826,0.0024471635150166856,1,0.010239601135253906
BFRT,0.8439188923161379,0.23686868686868687,0.7660972404730617,0.0,0.5464762431703437,0.04246769126956199,0.014416017797552836,1,0.00735926628112793
First_Order,0.8438714957879334,0.26666666666666666,0.7935887682412338,0.0,0.5345286672660627,0.037620303320174374,0.13348164627363737,1,0.0023546218872070312
Fine_Tuning,0.8435587499465664,0.2691919191919192,0.7950065703022339,0.0,0.5349839776840262,0.03771783325600115,0.003670745272525028,1,0.010216474533081055
BFRT,0.8439215452468107,0.23737373737373738,0.7673075593056228,0.0,0.5439691541600388,0.04172599075304125,0.01922135706340378,1,0.0073337554931640625
First_Order,0.8438190277562168,0.26717171717171717,0.7935887682412338,0.0,0.5277796989187818,0.040804224059221746,0.17797552836484984,1,0.0023331642150878906
Fine_Tuning,0.843387706225519,0.25555555555555554,0.7834566705857943,0.0,0.5286326855245868,0.03734560749082408,0.004894327030033371,1,0.010289430618286133
BFRT,0.8439264761356231,0.23636363636363636,0.7666159485441594,0.0,0.5412488184982824,0.04104531270242667,0.024026696329254724,1,0.007326364517211914
First_Order,0.843746226838884,0.2606060606060606,0.7886783318348434,0.0,0.5210019134564401,0.046590499687360565,0.2224694104560623,1,0.0023102760314941406
Fine_Tuning,0.8432036884548207,0.25606060606060604,0.7840445397330382,0.0,0.5220566198676717,0.03828315610048689,0.006117908787541714,1,0.010211706161499023
BFRT,0.8439192297914179,0.23535353535353534,0.7662009820872813,0.0,0.5384535583373677,0.0404303761959055,0.028832035595105672,1,0.007388591766357422
First_Order,0.8436619048904668,0.2585858585858586,0.7873642713880628,0.0,0.5142817622242203,0.05430325731766207,0.26696329254727474,1,0.002288818359375
Fine_Tuning,0.8429879667564351,0.25,0.7787882979459161,0.0,0.5152269635982203,0.04053048444956165,0.007341490545050056,1,0.010240554809570312
BFRT,0.8439136708236121,0.27121212121212124,0.7967010166678193,0.0,0.5357332226756115,0.03988594863247432,0.033637374860956616,1,0.007326602935791016
First_Order,0.8435715083870107,0.255050505050505,0.7841482813472578,0.0,0.5076134817991101,0.06336398642159229,0.3114571746384872,1,0.002513408660888672
Fine_Tuning,0.8427344759496367,0.24898989898989898,0.7780275261083063,0.0,0.5081264264471956,0.043969887779718324,0.0085650723025584,1,0.01020050048828125
BFRT,0.8439083930852064,0.27575757575757576,0.8008161006985268,0.0,0.533122392051087,0.039416658421885506,0.03844271412680756,1,0.0073337554931640625
First_Order,0.8434616414347649,0.251010101010101,0.7814164188394771,0.0,0.5008126426447195,0.07337226505947853,0.3559510567296997,1,0.0022974014282226562
Fine_Tuning,0.8424444628180986,0.25,0.7796528113977453,0.0,0.501267953062683,0.04842158498257501,0.009788654060066742,1,0.010218143463134766
