Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8579108424057937,0.20252525252525252,0.7676187841482813,0.8416666666666667,0.4838834520598474,0.0,,1,67.14488506317139
SISA,0.8276512245478019,0.3055555555555556,0.797046822048551,0.7833333333333333,0.5488785819674021,0.14425850589636063,,1,120.35952305793762
BFRT,0.854239626947326,0.17373737373737375,0.7299259976485234,0.775,0.5378341344491321,0.0954596974054343,0.0,1,0.15658092498779297
First_Order,0.854239626947326,0.17373737373737375,0.7299259976485234,0.775,0.5378341344491321,0.0954596974054343,0.0,1,0.006348609924316406
Fine_Tuning,0.854239626947326,0.17373737373737375,0.7299259976485234,0.775,0.5378341344491321,0.0954596974054343,0.0,1,0.03029346466064453
BFRT,0.8541784595528378,0.17222222222222222,0.7278511653641331,0.775,0.5374488496207668,0.09524787340510017,0.0002004008016032064,1,0.05372262001037598
First_Order,0.854223906223869,0.17424242424242425,0.7303409641054015,0.775,0.5378177086935473,0.0954702497043956,0.0052104208416833666,1,0.005505084991455078
Fine_Tuning,0.8537516283182258,0.19292929292929292,0.7452105954768656,0.7916666666666666,0.474405502916292,0.09501290779617966,8.016032064128257e-05,1,0.028780221939086914
BFRT,0.8541194951219824,0.17777777777777778,0.7328307628466699,0.775,0.5370459863522143,0.09505816360343491,0.0004008016032064128,1,0.05359506607055664
First_Order,0.854206938716739,0.17424242424242425,0.7303755446434747,0.775,0.5378099280724808,0.09548103654436635,0.010420841683366733,1,0.005567073822021484
Fine_Tuning,0.8531198558455594,0.20656565656565656,0.7563455287364271,0.825,0.48584488899647277,0.09542573142062365,0.00016032064128256515,1,0.02866959571838379
BFRT,0.8540564059932609,0.17727272727272728,0.7318970883186943,0.775,0.5366661767757106,0.09489072187506367,0.0006012024048096192,1,0.053725481033325195
First_Order,0.8541943677625613,0.17474747474747473,0.730444705719621,0.775,0.5378041646494687,0.09549205432825693,0.0156312625250501,1,0.005460262298583984
Fine_Tuning,0.8524006491524496,0.22424242424242424,0.7705235493464279,0.85,0.4964720646886598,0.09646988513992415,0.0002404809619238477,1,0.028554677963256836
BFRT,0.853985667424861,0.18484848484848485,0.7386057127048897,0.7916666666666666,0.5363242617055122,0.09474538620092637,0.0008016032064128256,1,0.05384230613708496
First_Order,0.854180475030204,0.17474747474747473,0.7305484473338405,0.775,0.5377775088180372,0.0955032994589447,0.020841683366733466,1,0.005253791809082031
Fine_Tuning,0.8515652572199086,0.22373737373737373,0.7711805795698181,0.85,0.5069577483458976,0.09801490354878882,0.0003206412825651303,1,0.02866387367248535
BFRT,0.8539134664635816,0.18333333333333332,0.7379832630195726,0.7833333333333333,0.5359627509970722,0.094622237143232,0.001002004008016032,1,0.05371594429016113
First_Order,0.8541663760629534,0.17474747474747473,0.7307213500242064,0.775,0.5377646852018352,0.0955147577890453,0.026052104208416832,1,0.00549769401550293
Fine_Tuning,0.8506754380241647,0.2318181818181818,0.7766097240473062,0.875,0.5169852398736657,0.09995265204721308,0.0004008016032064129,1,0.02850818634033203
BFRT,0.8538368220777828,0.18333333333333332,0.7380178435576458,0.7833333333333333,0.5356227090393526,0.09452042678464395,0.0012024048096192384,1,0.05473208427429199
First_Order,0.8541527458113694,0.17525252525252524,0.7307559305622795,0.775,0.5377571927519192,0.09552642924183934,0.0312625250501002,1,0.005282402038574219
Fine_Tuning,0.8502250491401505,0.22424242424242424,0.7697973580468912,0.8666666666666667,0.5207778603868409,0.10088176479632603,0.0004809619238476954,1,0.025960922241210938
BFRT,0.8537574685154312,0.18484848484848485,0.7385711321668165,0.7833333333333333,0.5353284862945801,0.09444037270232916,0.0014028056112224449,1,0.054940223693847656
First_Order,0.8541395936497652,0.17525252525252524,0.7307905111003528,0.775,0.5377332745464186,0.09553832077102763,0.03647294589178356,1,0.0055768489837646484
Fine_Tuning,0.849926430388974,0.22525252525252526,0.7709730963413791,0.8833333333333333,0.522500979781912,0.10143194195771206,0.000561122244488978,1,0.023156166076660156
BFRT,0.8536839364016585,0.18484848484848485,0.7383982294764506,0.7833333333333333,0.5349557369112663,0.09438151099311151,0.0016032064128256513,1,0.05526995658874512
First_Order,0.8541254853082012,0.18787878787878787,0.7414067362888167,0.7916666666666666,0.5377409110819098,0.09555043580990155,0.04168336673346693,1,0.005237102508544922
Fine_Tuning,0.849846101898036,0.22626262626262628,0.7716647071028425,0.8833333333333333,0.5224542960555133,0.10151767988077327,0.0006412825651302606,1,0.02044820785522461
BFRT,0.8536072826415465,0.18333333333333332,0.7366346220347189,0.7833333333333333,0.5346190089217788,0.0943435430828648,0.0018036072144288577,1,0.05516624450683594
First_Order,0.854112080040137,0.18787878787878787,0.741475897364963,0.7916666666666666,0.5377106531110958,0.09556276724344437,0.0468937875751503,1,0.005419254302978516
Fine_Tuning,0.8490636185899383,0.24242424242424243,0.7853586001798188,0.8833333333333333,0.529009469304009,0.10322898044913707,0.0007214428857715431,1,0.020487070083618164
BFRT,0.8535271885084417,0.19141414141414143,0.7435161491112802,0.7916666666666666,0.5343141238444337,0.09432642298034442,0.002004008016032064,1,0.055188655853271484
First_Order,0.8540988997555927,0.18787878787878787,0.7414067362888167,0.7916666666666666,0.5376881757613482,0.09557533607515573,0.052104208416833664,1,0.0054056644439697266
Fine_Tuning,0.8493223777608292,0.24292929292929294,0.7862922747077945,0.8833333333333333,0.5262015296124675,0.10256301010809454,0.0008016032064128258,1,0.017940044403076172
BFRT,0.8534464006761504,0.18383838383838383,0.7366346220347189,0.7833333333333333,0.534010823708417,0.09433021901158693,0.0022044088176352704,1,0.05519890785217285
First_Order,0.8540854476159622,0.18787878787878787,0.7413029946745971,0.7916666666666666,0.5376675715240796,0.09558812464102791,0.05731462925851703,1,0.005452871322631836
Fine_Tuning,0.8486392527997325,0.2287878787878788,0.7736357977730134,0.8833333333333333,0.531779802660396,0.10408453421227515,0.0008817635270541083,1,0.017813682556152344
BFRT,0.8533616662579466,0.19090909090909092,0.7425133135071582,0.7916666666666666,0.5336727989487516,0.09435406000795932,0.002404809619238477,1,0.055168867111206055
First_Order,0.8540697362668184,0.18787878787878787,0.7414067362888167,0.7916666666666666,0.5376576296193836,0.09560112582569015,0.0625250501002004,1,0.0052642822265625
Fine_Tuning,0.8492100266155503,0.22474747474747475,0.770558129884501,0.8833333333333333,0.5260799213869101,0.10265483869277645,0.0009619238476953908,1,0.015240192413330078
BFRT,0.8532677731356179,0.19090909090909092,0.742271249740646,0.7916666666666666,0.5333899589644281,0.09439800906619164,0.0026052104208416833,1,0.05523538589477539
First_Order,0.8540555716793745,0.18787878787878787,0.7413721557507434,0.7916666666666666,0.5376511457684948,0.09561433954240973,0.06773547094188377,1,0.005541801452636719
Fine_Tuning,0.8486598012945552,0.22828282828282828,0.7732554118542084,0.8833333333333333,0.5308358980565737,0.10391187030983767,0.0010420841683366734,1,0.015188217163085938
BFRT,0.8531706739981296,0.19090909090909092,0.742478732969085,0.7916666666666666,0.5330857943149596,0.09446185320976735,0.0028056112224448897,1,0.05505800247192383
First_Order,0.8540387541612577,0.19090909090909092,0.7439656961062314,0.7916666666666666,0.5376337114138829,0.09562777624093174,0.07294589178356713,1,0.0052149295806884766
Fine_Tuning,0.8480846965459782,0.2313131313131313,0.7758835327477696,0.8833333333333333,0.5355343845816907,0.10520689306010901,0.001122244488977956,1,0.015261650085449219
BFRT,0.8530791994486404,0.21262626262626264,0.7608409986859396,0.8083333333333333,0.532812896235332,0.09454473853482508,0.003006012024048096,1,0.05518007278442383
First_Order,0.8540232490470074,0.1904040404040404,0.7435507296493533,0.7916666666666666,0.5376198791986537,0.09564143582727581,0.0781563126252505,1,0.005510807037353516
Fine_Tuning,0.8474111333844795,0.2292929292929293,0.7746732139152085,0.8833333333333333,0.5399053645941397,0.10664797445697352,0.0012024048096192386,1,0.015180110931396484
BFRT,0.8529787536812928,0.19393939393939394,0.7448302095580607,0.7916666666666666,0.5325362519307467,0.09464663276145308,0.0032064128256513026,1,0.05523943901062012
First_Order,0.854006506523397,0.18686868686868688,0.740473061760841,0.7916666666666666,0.5375972577633309,0.09565533576397604,0.08336673346693386,1,0.005232572555541992
Fine_Tuning,0.8485847692906495,0.22828282828282828,0.7734283145445743,0.8833333333333333,0.529647912488185,0.1038497085653123,0.0012825651302605212,1,0.01261281967163086
BFRT,0.8528781298019921,0.19343434343434343,0.7445881457915485,0.7916666666666666,0.5322378507042902,0.09476722645886768,0.003406813627254509,1,0.055288076400756836
First_Order,0.8539898577429202,0.18686868686868688,0.74068054498928,0.7916666666666666,0.5375971136777555,0.09566946892410072,0.08857715430861723,1,0.005408048629760742
Fine_Tuning,0.848116784820512,0.2292929292929293,0.7741199253060378,0.8833333333333333,0.5335109908476843,0.10487092839962336,0.0013627254509018037,1,0.012523412704467773
BFRT,0.8527716282282323,0.19343434343434343,0.7440348571823777,0.7916666666666666,0.5319627913410332,0.09490560244561606,0.0036072144288577155,1,0.0554051399230957
First_Order,0.8539717934411304,0.18686868686868688,0.7407151255273532,0.7916666666666666,0.5375635417387095,0.09568383871486129,0.0937875751503006,1,0.005343914031982422
Fine_Tuning,0.8476779638391487,0.2318181818181818,0.7766788851234525,0.8833333333333333,0.5371841644189317,0.10589078823884948,0.0014428857715430862,1,0.012646913528442383
BFRT,0.8526666359189189,0.19393939393939394,0.7435853101874265,0.7916666666666666,0.5316881642345022,0.09506230143397354,0.003807615230460922,1,0.05514049530029297
First_Order,0.8539572632554665,0.18686868686868688,0.74068054498928,0.7916666666666666,0.5375580664868479,0.09569842045950774,0.09899799599198396,1,0.0054285526275634766
Fine_Tuning,0.8471627422041336,0.2292929292929293,0.7744657306867695,0.8833333333333333,0.5406674332019272,0.10701851052135049,0.001523046092184369,1,0.012536764144897461
BFRT,0.8525587844440395,0.2085858585858586,0.7562072065841344,0.8,0.5313986963137147,0.09523648172229644,0.004008016032064128,1,0.05513787269592285
First_Order,0.8539390208417234,0.18686868686868688,0.7403693201466215,0.7916666666666666,0.5375484127533025,0.09571323160856625,0.10420841683366733,1,0.005208492279052734
Fine_Tuning,0.8467002792045483,0.22676767676767676,0.7705235493464279,0.8916666666666667,0.5442782177190677,0.10809607745346005,0.0016032064128256515,1,0.01256871223449707
BFRT,0.8524485425192604,0.20757575757575758,0.7559997233556954,0.8,0.5311171530995689,0.0954278328690182,0.004208416833667334,1,0.055230140686035156
First_Order,0.8539248375056527,0.18484848484848485,0.7385019710906702,0.7833333333333333,0.5375452428706458,0.09572827907341172,0.1094188376753507,1,0.005425930023193359
Fine_Tuning,0.8461321395707764,0.22676767676767676,0.7694169721280864,0.8916666666666667,0.5478365550867972,0.10928735599773455,0.001683366733466934,1,0.012526512145996094
BFRT,0.8523234516821643,0.2080808080808081,0.7562072065841344,0.8083333333333333,0.530862986144731,0.09563607619130995,0.004408817635270541,1,0.055197715759277344
First_Order,0.8539121259367752,0.18232323232323233,0.7363579777301335,0.7833333333333333,0.5375216128362956,0.09574355221751957,0.11462925851703407,1,0.005309104919433594
Fine_Tuning,0.845532764724984,0.2287878787878788,0.7698665191230376,0.8916666666666667,0.5512437466860318,0.1105000831976173,0.0017635270541082166,1,0.012560129165649414
BFRT,0.8521989514268079,0.20757575757575758,0.7561726260460613,0.8083333333333333,0.5306410943587616,0.09586085982151818,0.004609218436873747,1,0.055272817611694336
First_Order,0.8538955615251183,0.18484848484848485,0.738674873781036,0.7833333333333333,0.537509941904696,0.09575904040950414,0.11983967935871744,1,0.005421161651611328
Fine_Tuning,0.8477630169840058,0.2287878787878788,0.7738778615395255,0.8833333333333333,0.5341204728312239,0.10534984893343871,0.0018436873747494991,1,0.009901046752929688
BFRT,0.8520692484275527,0.2080808080808081,0.7561380455079881,0.8083333333333333,0.530363441455149,0.09610162029905629,0.004809619238476954,1,0.05524325370788574
First_Order,0.8538812563229743,0.18434343434343434,0.7385019710906702,0.7833333333333333,0.5375020171980543,0.09577474003781074,0.1250501002004008,1,0.005243778228759766
Fine_Tuning,0.8474310631746226,0.22828282828282828,0.7739816031537451,0.8833333333333333,0.5368230859672176,0.10613500165398754,0.0019238476953907816,1,0.009927749633789062
BFRT,0.8519372205985912,0.20252525252525252,0.7508472231827927,0.7916666666666666,0.5300879498351662,0.09635823437886615,0.00501002004008016,1,0.05532240867614746
First_Order,0.8538650668838507,0.18434343434343434,0.7388131959333287,0.7833333333333333,0.537496686031768,0.09579066151840754,0.13026052104208416,1,0.005560636520385742
Fine_Tuning,0.8470356733869243,0.22828282828282828,0.7738778615395255,0.8833333333333333,0.5396154644166263,0.1069561506366393,0.0020040080160320644,1,0.009912729263305664
BFRT,0.8517981057887509,0.2101010101010101,0.7568296562694515,0.8083333333333333,0.5298718214722087,0.09663008561740426,0.0052104208416833666,1,0.055238962173461914
First_Order,0.8538486899584605,0.18434343434343434,0.7386057127048897,0.7833333333333333,0.5374808366184844,0.09580679772858643,0.13547094188376754,1,0.0054836273193359375
Fine_Tuning,0.8466915798417766,0.23282828282828283,0.7757106300574037,0.8916666666666667,0.5423326301957259,0.10776469398924512,0.0020841683366733467,1,0.00999903678894043
BFRT,0.85166242197759,0.20252525252525252,0.7498443875786708,0.7916666666666666,0.5296889768771469,0.09691656056905304,0.005410821643286573,1,0.05520796775817871
First_Order,0.8538336816828167,0.18232323232323233,0.7367037831108652,0.7833333333333333,0.5374657076330774,0.09582314855986877,0.1406813627254509,1,0.00547027587890625
Fine_Tuning,0.8463436803254161,0.22777777777777777,0.7704889688083547,0.8916666666666667,0.5450931657329922,0.10856022955695432,0.0021643286573146295,1,0.009904861450195312
BFRT,0.8515199886608306,0.20959595959595959,0.7557576595891832,0.8083333333333333,0.5294790441939277,0.0972172604529294,0.0056112224448897794,1,0.05520057678222656
First_Order,0.8538152705314335,0.18232323232323233,0.7367729441870116,0.7833333333333333,0.5374461119948359,0.0958396998830152,0.14589178356713425,1,0.005322456359863281
Fine_Tuning,0.8458748240441387,0.2297979797979798,0.7713880627982571,0.8916666666666667,0.5476237406920719,0.10950317266608592,0.002244488977955912,1,0.009952068328857422
BFRT,0.8513772553660446,0.2691919191919192,0.8067985337851857,0.8666666666666667,0.5292608986329161,0.09753198481829248,0.005811623246492986,1,0.05528545379638672
First_Order,0.8537977030682502,0.18232323232323233,0.7367729441870116,0.7833333333333333,0.5374410689997003,0.09585647962805302,0.15110220440881764,1,0.005505800247192383
Fine_Tuning,0.8454769969349745,0.22676767676767676,0.7681374922193789,0.8916666666666667,0.5503394656154184,0.1103416055585098,0.0023246492985971945,1,0.00992131233215332
BFRT,0.8512300505237992,0.2676767676767677,0.8055536344145515,0.8666666666666667,0.5290682562187334,0.09786087981720044,0.006012024048096192,1,0.05527949333190918
First_Order,0.8537791231792271,0.18232323232323233,0.7368421052631579,0.7833333333333333,0.5374386195449201,0.09587348066782063,0.156312625250501,1,0.005246162414550781
Fine_Tuning,0.8449379176725305,0.2313131313131313,0.7701777439656962,0.8916666666666667,0.5526797035295203,0.11138812693315876,0.0024048096192384773,1,0.009938716888427734
BFRT,0.8510879453080062,0.24292929292929294,0.7839062175807455,0.8416666666666667,0.5288408891809023,0.09820267773027785,0.006212424849699399,1,0.05526018142700195
First_Order,0.8537590152771308,0.18181818181818182,0.7361504945016945,0.7833333333333333,0.537420176591281,0.09589068536969154,0.16152304609218437,1,0.005217552185058594
Fine_Tuning,0.8444202399674224,0.22575757575757577,0.7648177605643544,0.8916666666666667,0.555017924245568,0.11241060053708588,0.0024849699398797596,1,0.009937047958374023
BFRT,0.8509346002905287,0.26717171717171717,0.8051386679576734,0.8666666666666667,0.5286156834267008,0.09855753742062649,0.006412825651302605,1,0.05527138710021973
First_Order,0.8537396948173546,0.1782828282828283,0.7329345044608894,0.775,0.5374099465154345,0.09590807260996627,0.16673346693386773,1,0.005495786666870117
Fine_Tuning,0.8439560333455574,0.22777777777777777,0.7659243377826959,0.9,0.5574008114899601,0.11335096938030055,0.0025651302605210423,1,0.009896993637084961
BFRT,0.850784639400164,0.26717171717171717,0.8051386679576734,0.8666666666666667,0.5284096410540149,0.09892527078739523,0.006613226452905812,1,0.0550990104675293
First_Order,0.8537223710863179,0.1782828282828283,0.7330382460751089,0.775,0.5374069207183529,0.09592567030304754,0.17194388777555109,1,0.005249738693237305
Fine_Tuning,0.8434880582497332,0.21313131313131314,0.7524725084722318,0.8916666666666667,0.5596639636212739,0.11423558161319812,0.002645290581162325,1,0.009927511215209961
BFRT,0.850631566237773,0.2611111111111111,0.7998824261705512,0.8583333333333333,0.5282399082463056,0.09930549127364557,0.006813627254509018,1,0.05531668663024902
First_Order,0.8537036693312214,0.1782828282828283,0.7332457293035479,0.775,0.5373943852733015,0.09594347133101842,0.17715430861723447,1,0.00545191764831543
Fine_Tuning,0.8430668422288068,0.2222222222222222,0.7602185490006225,0.8916666666666667,0.5621075108928695,0.11513038354513605,0.0027254509018036074,1,0.01000070571899414
BFRT,0.8504678532297509,0.2611111111111111,0.8000207483228439,0.8583333333333333,0.5280338658736197,0.09970151276113107,0.0070140280561122245,1,0.05523681640625
First_Order,0.8536860643707849,0.1782828282828283,0.7331765682274016,0.775,0.5373975551559582,0.0959614790811226,0.18236472945891782,1,0.005529642105102539
Fine_Tuning,0.8426112974724601,0.2202020202020202,0.7591811328584273,0.9,0.564498611015054,0.1160727836769662,0.00280561122244489,1,0.00989842414855957
BFRT,0.8503091367307345,0.24494949494949494,0.7856352444844041,0.85,0.5278488599949281,0.10010643032072811,0.007214428857715431,1,0.055251121520996094
First_Order,0.8536675407276417,0.1782828282828283,0.7332457293035479,0.775,0.5373657122438158,0.095979658439635,0.1875751503006012,1,0.005278348922729492
Fine_Tuning,0.8421735357885035,0.2207070707070707,0.7588353274776956,0.9083333333333333,0.5666506731678078,0.11698698548767292,0.0028857715430861725,1,0.009930610656738281
BFRT,0.8501439800784591,0.2691919191919192,0.8065218894806003,0.8666666666666667,0.5276505982433086,0.10052069115959512,0.007414829659318637,1,0.05522608757019043
First_Order,0.853648379631192,0.1782828282828283,0.7332457293035479,0.775,0.5373464047767249,0.09599803030347107,0.19278557114228456,1,0.00526118278503418
Fine_Tuning,0.8417389988683329,0.20404040404040405,0.7445881457915485,0.8916666666666667,0.5690148292874104,0.11785118736439557,0.0029659318637274552,1,0.009961605072021484
