Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.860542652750686,0.27424242424242423,0.8353966387716993,0.7,0.8672038176914032,0.0,,1,43.15958380699158
SISA,0.8218369098213555,0.31717171717171716,0.7894045231343799,0.3,0.598196624939484,0.1757924797169073,,1,82.1058919429779
BFRT,0.858702840641923,0.24595959595959596,0.8058648592572101,0.1,0.5250190192959403,0.11319953360255341,0.0,1,0.013243913650512695
First_Order,0.858702840641923,0.24595959595959596,0.8058648592572101,0.1,0.5250190192959403,0.11319953360255341,0.0,1,0.015129804611206055
Fine_Tuning,0.858702840641923,0.24595959595959596,0.8058648592572101,0.1,0.5250190192959403,0.11319953360255341,0.0,1,0.028154373168945312
BFRT,0.8587010595223901,0.25303030303030305,0.8119164534200152,0.1,0.5244812919289024,0.11319112973091333,5.5617352614015575e-05,1,0.012242794036865234
First_Order,0.8587832441273676,0.25656565656565655,0.816688567674113,0.1,0.5210249671484888,0.11302893623356118,0.00289210233592881,1,0.005464076995849609
Fine_Tuning,0.8586639747388503,0.2601010101010101,0.8203541047098692,0.1,0.5182671692371533,0.11329939458643634,4.449388209121246e-05,1,0.027920007705688477
BFRT,0.8586965317290509,0.25303030303030305,0.8120547755723079,0.1,0.5240473061760841,0.1131834968604746,0.00011123470522803115,1,0.01231074333190918
First_Order,0.8588159229836415,0.25555555555555554,0.8171035341309911,0.1,0.5162009820872813,0.1131607020216788,0.00578420467185762,1,0.005000114440917969
Fine_Tuning,0.8585519704431651,0.25555555555555554,0.8164465039076008,0.2,0.4893872328653434,0.11389871548988034,8.898776418242492e-05,1,0.02788829803466797
BFRT,0.8586928101266582,0.2505050505050505,0.810256587592503,0.1,0.523647900961339,0.11317654017250263,0.00016685205784204674,1,0.012400627136230469
First_Order,0.8588262066053662,0.26515151515151514,0.82450376927865,0.2,0.48840514558406534,0.11362148304535685,0.00867630700778643,1,0.005018711090087891
Fine_Tuning,0.8583709055811662,0.24494949494949494,0.8090462687599419,0.2,0.4960733799017913,0.11502842687226744,0.00013348164627363738,1,0.02770686149597168
BFRT,0.8586883760764523,0.251010101010101,0.8105332318970884,0.1,0.5231568573206999,0.11317017074787271,0.0002224694104560623,1,0.012227773666381836
First_Order,0.8587953932374452,0.23939393939393938,0.8043433155819905,0.2,0.4931565115153192,0.11443005599178836,0.01156840934371524,1,0.00509333610534668
Fine_Tuning,0.8581075248738029,0.23484848484848486,0.8022684832976001,0.3,0.5015907047513659,0.11669979680718028,0.00017797552836484984,1,0.027806997299194336
