Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8427709514028097,0.2308080808080808,0.7623971228992323,0.8,0.8294937409226087,0.0,,1,51.43985414505005
SISA,0.8003011966873427,0.2833333333333333,0.7271941351407428,0.3,0.5993861954492011,0.16827863924203054,,1,86.05222845077515
BFRT,0.841846615985379,0.25202020202020203,0.7789957811743551,0.3,0.48891347949374087,0.03708366962756038,0.0,1,0.009894847869873047
First_Order,0.841846615985379,0.25202020202020203,0.7789957811743551,0.3,0.48891347949374087,0.03708366962756038,0.0,1,0.0027658939361572266
Fine_Tuning,0.841846615985379,0.25202020202020203,0.7789957811743551,0.3,0.48891347949374087,0.03708366962756038,0.0,1,0.010185480117797852
BFRT,0.8417159849291039,0.25202020202020203,0.777992945570233,0.3,0.4909122345943703,0.03646414424482186,0.005045606229143493,1,0.009470224380493164
First_Order,0.8416334066029663,0.25606060606060604,0.7813472577633308,0.3,0.49213638564216067,0.03477469456821868,0.04493882091212458,1,0.0022459030151367188
Fine_Tuning,0.8415737016013577,0.2505050505050505,0.7757452105954769,0.3,0.49346082025036303,0.03524606269664576,0.0012235817575083428,1,0.009996175765991211
BFRT,0.8415874724676418,0.25606060606060604,0.7813472577633308,0.3,0.4930493118472924,0.03597004249566203,0.010091212458286985,1,0.009476184844970703
First_Order,0.8414097917327555,0.2868686868686869,0.8071443391659174,0.3,0.49542153675911194,0.03514214299840679,0.08987764182424916,1,0.002212047576904297
Fine_Tuning,0.8412633837071434,0.2782828282828283,0.7996057818659659,0.3,0.4977591811328584,0.03507237488645023,0.0024471635150166856,1,0.009990930557250977
BFRT,0.8414407925869429,0.25606060606060604,0.7807248080780137,0.3,0.49508956359360945,0.03561078982612651,0.015136818687430477,1,0.00955653190612793
First_Order,0.8411717216713875,0.2919191919191919,0.8108444567397469,0.3,0.49877239089840236,0.03831988916472515,0.13481646273637374,1,0.0023910999298095703
Fine_Tuning,0.8409082378465778,0.27626262626262627,0.7992945570233073,0.3,0.5023618507503976,0.03674233568791008,0.003670745272525028,1,0.010058164596557617
BFRT,0.8413005059879364,0.2883838383838384,0.8082163358461858,0.3,0.497128086313023,0.035394657162229684,0.02018242491657397,1,0.00946664810180664
First_Order,0.8409141155410367,0.2914141414141414,0.8111556815824055,0.3,0.5022321737326233,0.04388041958179551,0.17975528364849833,1,0.002492666244506836
Fine_Tuning,0.8405279688262834,0.27575757575757576,0.7985337851856975,0.3,0.5070267653364686,0.040169862041325,0.004894327030033371,1,0.010030269622802734
BFRT,0.8411542854485909,0.2863636363636364,0.806867694861332,0.3,0.49930147313092194,0.03522410293622442,0.025228031145717464,1,0.009465932846069336
First_Order,0.8406403293458755,0.2792929292929293,0.8005048758558683,0.3,0.5057611176429906,0.05120198959912779,0.22469410456062291,1,0.002248048782348633
Fine_Tuning,0.840095475506419,0.27626262626262627,0.7969430804343316,0.3,0.5119493049311847,0.04508288791588661,0.006117908787541714,1,0.010014533996582031
BFRT,0.8410035933617863,0.2868686868686869,0.8069022753994052,0.3,0.5014454664914586,0.03528039298069909,0.030273637374860954,1,0.009468555450439453
First_Order,0.8403491537994843,0.28888888888888886,0.8089079466076492,0.3,0.5091258039975102,0.05976346040537425,0.2696329254727475,1,0.002258777618408203
Fine_Tuning,0.8396056395119058,0.2924242424242424,0.809080849298015,0.3,0.5166643612974617,0.05116583251522324,0.007341490545050056,1,0.009979009628295898
BFRT,0.8408302248110325,0.2767676767676768,0.798222560343039,0.3,0.503651704820527,0.03549184372250801,0.03531924360400445,1,0.009784460067749023
First_Order,0.8400456416567487,0.2883838383838384,0.8083200774604052,0.3,0.5128501279479909,0.06920649875134935,0.31457174638487206,1,0.002228260040283203
Fine_Tuning,0.8390929489414901,0.2964646464646465,0.8128155474099177,0.3,0.5211771215160108,0.05814761956868859,0.0085650723025584,1,0.010019302368164062
BFRT,0.8406599404093651,0.2777777777777778,0.7997786845563317,0.3,0.5058129884501004,0.035859981840621315,0.04036484983314794,1,0.009452104568481445
First_Order,0.8397190874518441,0.2924242424242424,0.8103603292067224,0.3,0.5165294971989765,0.07929808877733317,0.35951056729699665,1,0.002228975296020508
Fine_Tuning,0.8385233937864052,0.29444444444444445,0.8104986513590151,0.3,0.5259181132858427,0.06582356818044727,0.009788654060066742,1,0.009968280792236328
BFRT,0.8404956180709764,0.2782828282828283,0.8002973926274293,0.3,0.5080399751020126,0.036384302610634495,0.04541045606229143,1,0.009507179260253906
First_Order,0.8393779468153957,0.2863636363636364,0.8047582820388686,0.3,0.5201708278580814,0.08988519661918246,0.40444938820912124,1,0.0022079944610595703
Fine_Tuning,0.8379087388098821,0.296969696969697,0.8123660004149664,0.3,0.5307524725084722,0.07404579462274362,0.011012235817575084,1,0.009989738464355469
BFRT,0.8403222776431627,0.27525252525252525,0.7982571408811121,0.3,0.5101805104087419,0.03706236476967924,0.05045606229143493,1,0.009738445281982422
First_Order,0.8390186762569641,0.2863636363636364,0.8050003458053807,0.3,0.5236738363648938,0.10086334001518106,0.44938820912124583,1,0.0022182464599609375
Fine_Tuning,0.8372553866679265,0.29797979797979796,0.810464070820942,0.3,0.5355660834082578,0.08270748441094168,0.012235817575083428,1,0.010000228881835938
BFRT,0.8401389629459642,0.2732323232323232,0.7962860502109412,0.3,0.5123054844733383,0.037890056968992364,0.05550166852057842,1,0.009535789489746094
First_Order,0.8386438443384023,0.2914141414141414,0.8079396915416004,0.3,0.5272425478940452,0.11215740740760592,0.4943270300333704,1,0.0022475719451904297
Fine_Tuning,0.8365678182823109,0.26464646464646463,0.7799640362404039,0.3,0.5401964174562555,0.09172965968930685,0.01345939933259177,1,0.010022640228271484
BFRT,0.8399569887755722,0.2732323232323232,0.7957673421398437,0.3,0.5145999031744934,0.0388618295940257,0.06054727474972191,1,0.009542703628540039
First_Order,0.8382466734311712,0.29393939393939394,0.8101182654402103,0.3,0.5307351822394356,0.12371060668083778,0.539265850945495,1,0.00223541259765625
Fine_Tuning,0.8358181263222468,0.26212121212121214,0.7768863683518915,0.3,0.5450031122484266,0.10105169155587909,0.014682981090100113,1,0.00997304916381836
BFRT,0.8397658746496819,0.28434343434343434,0.8049311847292344,0.3,0.5169928764091569,0.03997108859391892,0.0655928809788654,1,0.009659528732299805
First_Order,0.8378290758951907,0.2833333333333333,0.8001590704751366,0.3,0.5342347326924407,0.135477785450906,0.5842046718576196,1,0.0022420883178710938
Fine_Tuning,0.8350318839145032,0.2595959595959596,0.7723908984023792,0.3,0.549661110726883,0.11062513264292333,0.015906562847608455,1,0.010002374649047852
BFRT,0.8395762510396114,0.28585858585858587,0.8059340203333564,0.3,0.5191818244691887,0.041210457471144844,0.0706384872080089,1,0.0095367431640625
First_Order,0.8374057975253313,0.28434343434343434,0.8003665537035757,0.3,0.5378380247596652,0.147421703668165,0.6291434927697441,1,0.0022323131561279297
Fine_Tuning,0.8341917110821633,0.2601010101010101,0.7713880627982571,0.3,0.5545646310256588,0.12040966243410174,0.0171301446051168,1,0.010116100311279297
BFRT,0.8393321064232044,0.28434343434343434,0.8043087350439173,0.3,0.5214053530672937,0.04244275675874151,0.07568409343715239,1,0.009526968002319336
First_Order,0.8369704544142141,0.29444444444444445,0.8088042049934296,0.3,0.5411785047375337,0.1595105341536855,0.6740823136818688,1,0.002220630645751953
Fine_Tuning,0.8333054728741119,0.26515151515151514,0.773566636696867,0.3,0.5593125389031053,0.13037068689193207,0.018353726362625142,1,0.01002192497253418
BFRT,0.8390987516414423,0.28383838383838383,0.8033404799778685,0.3,0.5234974756207207,0.04381758655862628,0.08072969966629588,1,0.009729862213134766
First_Order,0.836516390799374,0.296969696969697,0.8102220070544298,0.3,0.5447783387509509,0.1717165101318872,0.7190211345939933,1,0.002267599105834961
Fine_Tuning,0.8323665322765106,0.2782828282828283,0.783387509509648,0.3,0.5643163427622935,0.140477517600949,0.019577308120133485,1,0.009979963302612305
BFRT,0.838886770294076,0.2823232323232323,0.8015768725361366,0.3,0.5256068884431842,0.04537929731501695,0.08577530589543937,1,0.009514808654785156
First_Order,0.836037935221245,0.28939393939393937,0.8034096410540148,0.3,0.5482709730963414,0.18401492370383313,0.7639599555061178,1,0.002232074737548828
